Cluster,Current Role,URL,Indexing,Distinct Intent,Current Action,Verified At
PRF,Overview hub,/services/prf/,index follow,Topical PRF Microneedling versus injectable PRF paths,KEEP substantive reviewed hub,2026-08-14
PRF,Injectable service,/services/prf-injections/,index follow,PRF Under-Eye and PRF Bio-Filler injection choices,KEEP canonical injectable route,2026-08-14
PRF,Topical service,/services/microneedling/,index follow,Procell Microneedling with a separate topical PRF appointment,KEEP canonical microneedling route,2026-08-14
PRF,Under-eye detail,/services/prf-under-eyes/,index follow,Verified $495 injectable PRF Under-Eye appointment,KEEP canonical under-eye route,2026-08-14
Microneedling,Service,/services/microneedling/,index follow,Procell Pro and MD topical-serum options plus topical PRF distinction,KEEP canonical service,2026-08-14
Microneedling,Cost guide,/cost/microneedling-cost-punta-gorda/,index follow,Verified option-level pricing context linked to the service,KEEP while substantive and reconciled,2026-08-14
Microneedling,Comparison,/compare/morpheus8-vs-microneedling/,index follow,Device and radiofrequency distinction between Morpheus8 and Procell,KEEP reviewed comparison intent,2026-08-14
InMode,Navigation collection,/services/collections/inmode/,noindex follow,Routes visitors to Morpheus8 Lumecca and Forma without competing,KEEP navigational only,2026-08-14
Injectables,Neurotoxin service,/services/injectables/,index follow,Botox and Daxxify product-specific unit pricing,KEEP canonical neurotoxin route,2026-08-14
Injectables,Dermal-filler service,/services/dermal-fillers/,index follow,Five verified hyaluronic-acid filler products plus consultation,KEEP canonical filler route,2026-08-14
Injectables,Decision hub,/services/injectables-bio-fillers/,index follow,Movement-related lines lost-volume areas and injectable PRF paths,KEEP substantive reviewed hub,2026-08-14
Injectables,Comparison,/compare/daxxify-vs-botox/,index follow,Product-specific unit and evidence distinctions,KEEP reviewed comparison intent,2026-08-14
Injectables,Botox cost guide,/cost/botox-cost-punta-gorda/,index follow,Verified Botox price structure and product-unit boundary,KEEP while substantive and reconciled,2026-08-14
Injectables,Filler cost guide,/cost/dermal-fillers-cost-punta-gorda/,index follow,Verified consultation and five-product price context,KEEP while substantive and reconciled,2026-08-14
Injectables,Navigation collection,/services/collections/injectables-bio-fillers/,noindex follow,Routes visitors to canonical injectable services without competing,KEEP navigational only,2026-08-14
Glo2Facial,Service,/services/glo2facial/,index follow,Single verified Geneo Glo2Facial route and appointment,KEEP only canonical Glo2Facial route,2026-08-14
Facials,Navigation collection,/services/collections/facials/,noindex follow,Routes visitors across verified facial and skin-renewal services,KEEP navigational only,2026-08-14
Morpheus8,Facial service,/services/morpheus8/,index follow,Burst Resurfacing Prime Hyperhidrosis and Lumecca bundle menu,KEEP canonical main route,2026-08-14
Morpheus8,Body service,/services/morpheus8-body/,index follow,Burst Deep body-area packages distinct from facial options,KEEP canonical body route,2026-08-14
Morpheus8,Cost guide,/cost/morpheus8-cost-punta-gorda/,index follow,Verified area family package and bundle pricing context,KEEP while substantive and reconciled,2026-08-14
Morpheus8,Comparison,/compare/morpheus8-vs-microneedling/,index follow,RF microneedling versus Procell device distinction,KEEP reviewed comparison intent,2026-08-14
Morpheus8,Journal article,/blog/is-morpheus8-safe/,index follow,FDA source context recovery questions and follow-up boundaries,KEEP reviewed research intent,2026-08-14
Waxing,Overview hub,/services/waxing/,index follow,Facial and body waxing directory with booking distinctions,KEEP substantive reviewed hub,2026-08-14
Waxing,Facial service,/services/facial-waxing/,index follow,Four directly bookable facial-area appointments,KEEP canonical facial route,2026-08-14
Waxing,Body service,/services/body-waxing/,index follow,Seven body-area appointments arranged by phone,KEEP canonical body route,2026-08-14
Waxing,Navigation collection,/services/collections/waxing/,noindex follow,Routes visitors to the canonical waxing hub and children,KEEP navigational only,2026-08-14
Location,Local area,/areas/punta-gorda/,index follow,Canonical practice location and visit planning,KEEP localArea role,2026-08-14
Location,Local area,/areas/port-charlotte/,index follow,Travel guidance to the single Punta Gorda practice,KEEP localArea role,2026-08-14
