"Issue Name","Issue Type","Issue Priority","Current","Previous","Change","Change %","Added","New","Removed","Missing","Description","How To Fix","Help URL"
"Response Codes: Internal Redirection (3xx)","Warning","Low","1","10","-9","-90.000","0","1","0","10","Internal URLs which redirect to another URL. These will include server-side redirects, such as 301 or 302 redirects (and more). View URLs that link to redirects using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Redirection (3xx) inlinks'.","Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect. This reduces latency of redirect hops for users, and enhanced efficiency for search engines.",""
"Mobile: Content Not Sized Correctly","Issue","High","15","0","15","100.000","15","0","0","0","Pages with content that is smaller or larger than the viewport width, which means it may not render correctly on mobile devices. Lighthouse flags pages whose width isn't equal to the width of the viewport.","Follow best practices for responsive web design to ensure the page is mobile-friendly and will render correctly on mobile screens.",""
"Meta Description: Over 985 Pixels","Opportunity","Low","24","21","3","14.286","1","7","3","2","Pages which have meta descriptions over Google's estimated pixel length limit for snippets. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",""
"H2: Multiple","Warning","Low","276","85","191","224.706","173","25","0","7","Pages which have multiple <h2>s. This is not an issue as HTML standards allow multiple <h2>'s when used in a logical hierarchical heading structure. However, this filter can help you quickly scan to review if they are used appropriately.","Ensure <h2>s are used in a logical hierarchical heading structure, and update where appropriate utilising the full heading rank between (h3 - h6) for additional headings.",""
"PageSpeed: Layout Shift Culprits","Opportunity","Medium","3","0","3","100.000","3","0","0","0","Pages that have layout shifts on DOM elements without any user interaction such as elements being added, removed, or their fonts changing as the page loads. Lighthouse will display elements contributing most to the CLS of the page and include a contribution score of each to help prioritise. Bulk export the pages and details of the layout shifts via 'Reports > PageSpeed > Layout Shift Culprits'.","Avoid sudden layout shifts to improve user-experience. Ensure images, ads, embeds and iframes have dimensions, avoid inserting new content above existing content or reserve space for them and preload key fonts.",""
"PageSpeed: Use Efficient Cache Lifetimes","Opportunity","Medium","277","0","277","100.000","252","25","0","0","Pages with resources that are not cached. HTTP caching can speed up your page load time on repeat visits. Bulk export the pages and resources via 'Reports > PageSpeed > Use Efficient Cache Lifetimes'.","Cache static resources using HTTP caching. A long cache lifetime can speed up repeat visits to pages.",""
"Security: Missing Secure Referrer-Policy Header","Warning","Low","1","0","1","100.000","0","1","0","0","URLs missing 'no-referrer-when-downgrade', 'strict-origin-when-cross-origin', 'no-referrer' or 'strict-origin' policies in the Referrer-Policy header. When using HTTPS, it's important that the URLs do not leak in non-HTTPS requests. This can expose users to 'man in the middle' attacks, as anyone on the network can view them.","Consider setting a referrer policy of strict-origin-when-cross-origin. It retains much of the referrer's usefulness, while mitigating the risk of leaking data cross-origins.",""
"Links: Non-Descriptive Anchor Text In Internal Outlinks","Opportunity","Low","1","0","1","100.000","0","1","0","0","Pages that have internal outlinks with anchor text that is not descriptive, such as 'click here' or 'learn more' based upon the preferences under 'Config > Spider > Preferences'. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks with non-descriptive anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column has words such as 'click here', or 'learn more'. Export in bulk via 'Bulk Export > Links > Non-Descriptive Anchor Text In Internal Outlinks'.","Review the non-descriptive anchor text in outlinks and where appropriate update them to include useful and descriptive anchor text to help provide context to both users and search engines.",""
"Images: Over 100 kB","Opportunity","Medium","79","83","-4","-4.819","0","5","0","9","Large images over a size threshold. Page speed is extremely important for users and SEO and often large resources such as images are one of the most common issues that slow down web pages. This filter simply acts as a general rule of thumb to help identify images that are fairly large in file size and may take longer to load. These should be considered for optimisation, alongside opportunities identified in the PageSpeed tab which uses the PSI API and Lighthouse to audit speed. This can help identify images that haven't been optimised in size, load offscreen, are unoptimised etc.","Uncompressed images bloat pages with unnecessary bytes, so ensure images are optimised with compression, properly scaled, and using the best image format to reduce file size where possible.",""
"H2: Non-Sequential","Warning","Low","165","167","-2","-1.198","0","0","1","1","Pages with an <h2> that is not the second heading level after the <h1> on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies.","Ensure the <h2> is the second heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the heading element following an <h1> should be an <h2>, rather than an <h3>.",""
"Content: Low Content Pages","Opportunity","Medium","88","170","-82","-48.235","0","3","75","10","Pages with a word count that is below the default 200 words. The word count is based upon the content area settings used in the analysis which can be configured via 'Config > Content > Area'. There isn't a minimum word count for pages in reality, but the search engines do require descriptive text to understand the purpose of a page. This filter should only be used as a rough guide to help identify pages that might be improved by adding more descriptive content in the context of the website and page's purpose. Some websites, such as ecommerce, will naturally have lower word counts, which can be acceptable if a products details can be communicated efficiently.","Consider including additional descriptive content to help the user and search engines better understand the page.",""
"Images: Missing Alt Text","Issue","Low","8","8","0","0.000","1","0","0","1","Images that have an alt attribute, but are missing alt text. Click the address of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on them, and are missing alt text. Images should have descriptive alternative text about its purpose, which helps the blind and visually impaired, and the search engines understand it and its relevance to the web page.","Include descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers.",""
"PageSpeed: Avoid Enormous Network Payloads","Opportunity","Medium","9","0","9","100.000","8","1","0","0","Pages with large network payloads that can reduce page speed. Large network payloads cost users real money and are highly correlated with long load times. Bulk export the pages and resources via 'Reports > PageSpeed > Avoid Enormous Network Payloads'.","Aim to keep your total byte size below 1,600 KiB. Defer requests until they're needed, optimise requests to be as small as possible, and cache requests.",""
"H1: Duplicate","Opportunity","Low","4","6","-2","-33.333","1","1","2","2","Pages which have duplicate <h1>s. It's important to have distinct, unique and useful main headings. If every page has the same <h1>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h1>s as necessary, so important pages contain a unique and descriptive <h1> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Content: Readability Very Difficult","Opportunity","Low","2","1","1","100.000","0","1","0","0","Copy on the page is very difficult to read and best understood by university graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"PageSpeed: LCP Request Discovery","Opportunity","Medium","12","0","12","100.000","10","2","0","0","Pages with a Largest Contentful Paint (LCP) request discovery that can be optimised. LCP request discovery is the process of finding the specific file or resource that's needed to display the main image on a web page. Lighthouse checks to see whether the LCP image is discoverable from the HTML, has fetchpriority=high and is not lazy loaded. Bulk export the pages and validations via 'Reports > PageSpeed > LCP Request Discovery'.","Optimise LCP by making the LCP image discoverable from the HTML immediately, using fetchpriority=high and avoiding lazy-loading.",""
"PageSpeed: Reduce Unused CSS","Opportunity","Medium","115","0","115","100.000","112","3","0","0","Pages with unused CSS that are larger than necessary in bytes and reducing page speed. Bulk export the pages and CSS via 'Reports > PageSpeed > Reduce Unused CSS'.","Remove dead rules from stylesheets to reduce unnecessary bytes consumed by network activity. Inline critical CSS and defer the loading of CSS not used for above the fold content to improve page load performance.",""
"Page Titles: Over 561 Pixels","Opportunity","Medium","1","2","-1","-50.000","0","0","1","0","Pages which have page titles over Google's estimated pixel length limit for titles in search results. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.",""
"PageSpeed: Reduce JavaScript Execution Time","Opportunity","Medium","1","0","1","100.000","1","0","0","0","Pages with average or slow JavaScript execution time (over 2 seconds). When JavaScript takes a long time to execute, it slows down page performance. Bulk export the pages and details via 'Reports > PageSpeed > Reduce JavaScript Execution Time'.","Consider reducing the time spent parsing, compiling and executing JS. Smaller JS payloads may help improve page load speed.",""
"PageSpeed: Minimize Main-Thread Work","Opportunity","Medium","1","0","1","100.000","1","0","0","0","Pages with average or slow execution timing on the main thread. The main thread of the renderer process typically handles most code that allows users to interact with a page. Lighthouse flags pages that keep the main thread busy for longer than 4 seconds during load. Bulk export the pages and details via 'Reports > PageSpeed > Minimize Main-Thread Work'.","Minimize main thread work by analysing the bottlenecks identified and find ways to defer or remove unnecessary work such as optimising resources.",""
