Service Name,Category,Sub-Category,Price,Price Type,Duration (min),Description,Duration Confirmed,Notes
Botox,Injectables & Bio-Fillers,Neuromodulators,$14/unit,Per Unit,20,"Precision neuromodulator treatment that softens expression lines and prevents new ones from forming, dosed to your anatomy for a refreshed, natural result.",N,Duration is an estimate — confirm with Diana
Daxxify,Injectables & Bio-Fillers,Neuromodulators,$14/unit,Per Unit,20,"A longer-acting neuromodulator alternative to Botox, formulated for smoother lines with fewer touch-up visits between sessions.",N,Duration is an estimate — confirm with Diana
Juvéderm Ultra XC,Injectables & Bio-Fillers,Dermal Fillers,From $650,Per Syringe,30,"Smooth, hyaluronic-acid filler that restores volume and softens lines in the lips and lower face for a natural, hydrated look.",N,Duration is an estimate — confirm with Diana
Juvéderm Voluma XC,Injectables & Bio-Fillers,Dermal Fillers,From $850,Per Syringe,30,"Structural filler built for the cheeks, designed to lift and contour where volume loss has changed the shape of the face.",N,Duration is an estimate — confirm with Diana
RHA 1,Injectables & Bio-Fillers,Dermal Fillers,From $650,Per Syringe,30,Flexible filler engineered to move naturally with facial expression — ideal for fine lines and delicate areas.,N,Duration is an estimate — confirm with Diana
RHA 2,Injectables & Bio-Fillers,Dermal Fillers,From $700,Per Syringe,30,"Mid-weight RHA filler for moderate lines and folds, balancing correction with natural movement.",N,Duration is an estimate — confirm with Diana
RHA 3,Injectables & Bio-Fillers,Dermal Fillers,From $800,Per Syringe,30,"Our most robust RHA filler, for deeper folds and areas needing stronger structural support.",N,Duration is an estimate — confirm with Diana
PRF Under-Eye Rejuvenation,Injectables & Bio-Fillers,Injectable PRF,$495 (Series of 3: $1350),Per Session,60,"Your own platelet-rich fibrin, injected beneath the under-eye to soften hollows and dark circles gradually and naturally — no synthetic filler.",Y,Duration sourced from PRF Brochure (45-60 min)
PRF Facial Rejuvenation (1 Area),Injectables & Bio-Fillers,Injectable PRF,$595 (Series of 3: $1650),Per Area,60,Targeted PRF injections that stimulate your body's own collagen production for firmer more even-toned skin in the treatment area.,Y,Duration sourced from PRF Brochure (45-60 min); series price only in source file 2 — confirm still active
PRF Skin Renewal (Microchanneling + PRF),Skin Renewal,Injectable PRF,$450 (Series of 3: $1200; Series of 4: $1550),Per Session,60,Microchanneling paired with your own PRF to renew skin texture and radiance from within — minimal downtime.,Y,Duration sourced from PRF Brochure (45-60 min); provider = Amber (confirmed 2026-07-10 — Diana never assigned microchanneling; CLAUDE.md lane rule supersedes source doc origin)
Hydration IV,Wellness & Restoration,IV Wellness Therapy,$100,Per Session,45,A base electrolyte and fluid infusion to restore hydration fast — a simple reset after travel illness or an off day.,N,Duration is an estimate — confirm with Diana
Immunity IV,Wellness & Restoration,IV Wellness Therapy,$175,Per Session,45,Vitamin- and antioxidant-forward blend built to support the immune system during high-stress or high-exposure stretches.,N,Duration is an estimate — confirm with Diana
Recovery IV,Wellness & Restoration,IV Wellness Therapy,$185,Per Session,45,Formulated to ease muscle fatigue and support recovery after intense activity or physical strain.,N,Duration is an estimate — confirm with Diana
Beauty Glow IV,Wellness & Restoration,IV Wellness Therapy,$185,Per Session,45,Skin-focused infusion combining hydration with beauty-supporting nutrients for a healthy from-within glow.,N,Duration is an estimate — confirm with Diana
Reboot (Hangover Recovery) IV,Wellness & Restoration,IV Wellness Therapy,$185,Per Session,45,Rehydration and nutrient replenishment blend designed to help you bounce back fast.,N,Duration is an estimate — confirm with Diana
Myers' Cocktail IV,Wellness & Restoration,IV Wellness Therapy,$190,Per Session,45,The classic multivitamin infusion — a broad-spectrum blend of vitamins and minerals for overall wellness support.,N,Duration is an estimate — confirm with Diana
Vitamin C Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,Boost any IV session with an extra dose of Vitamin C.,N,Attach to a base IV session; not a standalone bookable service
B12 Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,Boost any IV session with an extra dose of B12.,N,Attach to a base IV session; not a standalone bookable service
Biotin Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,Boost any IV session with an extra dose of Biotin.,N,Attach to a base IV session; not a standalone bookable service
Glutathione Add-On,Wellness & Restoration,IV Add-On,$35,Add-On,5,Boost any IV session with an extra dose of Glutathione.,N,Attach to a base IV session; not a standalone bookable service
Magnesium Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,Boost any IV session with an extra dose of Magnesium.,N,Attach to a base IV session; not a standalone bookable service
NAD+ Add-On,Wellness & Restoration,IV Add-On,$100,Add-On,5,Boost any IV session with an extra dose of NAD+.,N,Attach to a base IV session; not a standalone bookable service
Semaglutide,Wellness & Restoration,GLP-1 Program,Starting at $225/month,Program,20,"Physician-guided GLP-1 weight management program with monthly dosing and progress check-ins, tailored to your goals.",N,Duration is an estimate — confirm with Diana
Tirzepatide,Wellness & Restoration,GLP-1 Program,Starting at $325/month,Program,20,"Dual-action GLP-1/GIP weight management program with monthly dosing and progress check-ins, tailored to your goals.",N,Duration is an estimate — confirm with Diana
