Type,Name,Category,Duration,Price,Notes
Service,Signature Rose Facial,Facials,30 mins,$80,
Service,Luxe Rose Facial,Facials,1 hr,$120,
Service,Royal Rose Facial,Facials,1 hr 30 mins,$170,
Service,Lunch Time Glow,Facials,30 mins,$100,
Service,Signature Facial,Facials,45 mins,$120,
Service,Skin Reset Facial,Facials,50 mins,$140,
Service,Mommy & Me Facial,Facials,1 hr,$150,
Service,Sculpt & Lift Facial,Facials,1 hr,$180,
Service,Luxury Facial,Facials,1 hr 15 mins,$200,
Service,Everyday Makeup,Makeup,25 mins,$30,
Service,Soft Glam/Event Makeup,Makeup,45 mins,$80,
Service,Full Glam/Bridal Makeup,Makeup,2 hrs,$175,
Service,Permanent Jewelry,Permanent Jewelry,20 mins,$65,
Service,Lash Tint Only,Lash Services,20 mins,$25,
Service,Lash Lift Only,Lash Services,40 mins,$65,
Service,Lash Lift & Tint Combo,Lash Services,1 hr,$85,
Service,Underarm Waxing,Waxing,15 mins,$20,
Service,Bikini Line Waxing,Waxing,20 mins,$30,
Service,Chest Waxing,Waxing,20 mins,$40,
Service,Back Waxing,Waxing,30 mins,$50,
Service,Chin Waxing,Waxing,10 mins,$10,
Service,Lip Waxing,Waxing,10 mins,$10,
Service,Full Leg Waxing,Waxing,45 mins,$65,
Service,Full Arm Waxing,Waxing,30 mins,$35,
Service,Eyebrow Wax Only,Waxing,10 mins,$15,
Service,"Eyebrow Shape, Trim & Wax",Waxing,15 mins,$20,
Service,Daxxify,Injectables & Bio-Fillers,20 mins,$14,1 option
Service,Botox,Injectables & Bio-Fillers,20 mins,$14,
Service,Juvéderm Ultra XC,Injectables & Bio-Fillers,30 mins,$650,
Service,Juvéderm Voluma XC,Injectables & Bio-Fillers,45 mins,$850,
Service,RHA 1,Injectables & Bio-Fillers,30 mins,$650,
Service,RHA 2,Injectables & Bio-Fillers,30 mins,$700,
Service,RHA 3,Injectables & Bio-Fillers,45 mins,$800,
Service,PRF Under-Eye Rejuvenation,Injectables & Bio-Fillers,45 mins,$495,2 options
Service,PRF Facial Rejuvenation (1 Area),Injectables & Bio-Fillers,1 hr,$595,2 options
Service,Glo2Facial,Advanced Facials,1 hr,$195,
Service,Glo2Facial + ProCell MD,Advanced Facials,1 hr 30 mins,$475,
Service,Glo2Facial + ProCell Pro,Advanced Facials,1 hr 30 mins,$525,
Service,Glo2Facial + PRF,Advanced Facials,1 hr 30 mins,$595,
Service,GlowTox Facial,Advanced Facials,1 hr,$475,
Service,ProCell MD Microchanneling,Microchanneling & Microneedling,45 mins,$349,
Service,Lip,Enhancements & Add-ons,10 mins,$7,
Service,Chin,Enhancements & Add-ons,10 mins,$7,
Service,PRF Skin Renewal,Skin Renewal,1 hr,$450,3 options
Service,Hydration IV,Wellness & Restoration,30 mins,$100,
Service,Immunity IV,Wellness & Restoration,45 mins,$175,
Service,Recovery IV,Wellness & Restoration,45 mins,$185,
Service,Beauty Glow IV,Wellness & Restoration,45 mins,$185,
Service,Reboot (Hangover Recovery) IV,Wellness & Restoration,45 mins,$185,
Service,Myers' Cocktail IV,Wellness & Restoration,45 mins,$190,
Service,Vitamin C Add-On,Wellness & Restoration,10 mins,$25,
Service,B12 Add-On,Wellness & Restoration,10 mins,$25,
Service,Biotin Add-On,Wellness & Restoration,10 mins,$25,
Service,Glutathione Add-On,Wellness & Restoration,10 mins,$35,
Service,Magnesium Add-On,Wellness & Restoration,10 mins,$25,
Service,NAD+ Add-On,Wellness & Restoration,10 mins,$100,
Service,Semaglutide,Wellness & Restoration,15 mins,$225,
Service,Tirzepatide,Wellness & Restoration,15 mins,$325,
Category,Acne Bootcamp,,,,0 services
Category,Advanced Facials,,,,5 services
Category,Enhancements & Add-ons,,,,2 services
Category,Facials,,,,9 services
Category,Hormone Therapy,,,,0 services
Category,Injectables & Bio-Fillers,,,,9 services
Category,Injections,,,,0 services
Category,Lash Services,,,,3 services
Category,Makeup,,,,3 services
Category,Microchanneling & Microneedling,,,,1 services
Category,Permanent Jewelry,,,,1 services
Category,Skin Renewal,,,,1 services
Category,Waxing,,,,10 services
Category,Wellness & Restoration,,,,14 services
Membership,None created,,,,No memberships have been set up yet
Package,None created,,,,No packages have been set up yet
Resource,Injection Room,Rooms,,,Room equipped for facial injections
Resource Category,Equipment,Equipment,,,0 resources assigned
