"record_type","sanity_id","title","slug","status","kind","collection","collection_slug","parent_service","parent_service_slug","provider","provider_role","service_category","pricing_model","pricing_model_note","service_price","rack_price","product_price_cents","product_price_usd","duration","brand","product_category","size","in_stock","shippable","weight_lb","featured","badge","tagline","description","who_its_for","process","pricing_notes","competitor_pricing","booking_url","purchase_url","cta_label","concerns","related_services","faqs","image_url","image_alt","gallery","seo_meta_title","seo_meta_description","order_rank","created_at","updated_at","revision","source_dataset","source_transaction_id"
"Product","product-facereality-10-advanced-acne-med","10% Advanced Acne Med","10-advanced-acne-med","","","","","","","","","","","","","","3100","31","","face-reality","skincare","1.5 oz","true","","","","","","Get serious about acne prevention with our Benzoyl Peroxide Acne treatment. 10% Advanced Acne Med is a benzoyl peroxide acne medication designed to support clearer-looking skin. Advanced Acne Med penetrates pores to target the source of acne, clearing and controlling existing blemishes while helping to prevent future breakouts.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/2fc4c87fe0e1d62cf82e0e782ee7257326c4e1c5-2048x2048.png","10% Advanced Acne Med","","","","","2026-07-01T08:00:10Z","2026-07-01T08:02:36Z","JL5yWZ2fDsPkrNN3bKMkkD","production",""
"Product","product-facereality-10-glycolic-serum","10% Glycolic Serum","10-glycolic-serum","","","","","","","","","","","","","","3700","37","","face-reality","skincare","1 oz","true","","","","","","Reveal a more radiant, healthy‑looking complexion. This potent 10% Glycolic exfoliating serum removes dead skin cells to renew the skin, while delivering smoothing, firming, and brightening benefits.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/9b1d571e1d8d4a0f250a3e14405040215767b685-2048x2048.png","10% Glycolic Serum","","","","","2026-07-01T08:00:10Z","2026-07-01T08:02:43Z","JL5yWZ2fDsPkrNN3bKMn5E","production",""
"Product","product-facereality-11-mandelic-serum","11% L-Mandelic Serum","11-l-mandelic-serum","","","","","","","","","","","","","","4600","46","","face-reality","skincare","1 oz","true","","","","","","Powerful exfoliation doesn't have to be harsh on your skin. Improve the texture and tone of dull-looking skin with this gentle yet powerful 11% L-Mandelic exfoliating serum. It gradually sweeps away dead skin cells to reveal clearer, brighter-looking skin with minimal irritation.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/2cd0ca4347c92cdf62dcf96457c0771e44c92a47-2048x2048.png","11% L-Mandelic Serum","","","","","2026-07-01T08:00:10Z","2026-07-01T08:01:28Z","6Uf5dcYnDNc3ONxw9MrPif","production",""
"Product","product-facereality-15-mandelic-serum","15% L-Mandelic Serum","15-l-mandelic-serum","","","","","","","","","","","","","","4800","48","","face-reality","skincare","1 oz","true","","","","","","Powerful exfoliation doesn't have to be harsh on your skin. Improve the texture and tone of dull-looking skin with this gentle yet powerful 15% L-Mandelic exfoliating serum. It gradually sweeps away dead skin cells to reveal clearer, brighter-looking skin with minimal irritation.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/195fd0079eca4068952d63cfddfa319f37c55966-2048x2048.png","15% L-Mandelic Serum","","","","","2026-07-01T08:00:10Z","2026-07-01T08:02:20Z","D3X8E2XKt8n8bNnBsSEZKY","production",""
"Product","product-facereality-2-5-advanced-acne-med","2.5% Advanced Acne Med","2-5-advanced-acne-med","","","","","","","","","","","","","","2900","29","","face-reality","skincare","1.5 oz","true","","","","","","Get serious about acne prevention with our Benzoyl Peroxide Acne treatment. 2.5% Advanced Acne Med is a benzoyl peroxide acne medication designed to support clearer-looking skin. Advanced Acne Med penetrates pores to target the source of acne, clearing and controlling existing blemishes while helping to prevent future breakouts.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/5790727eb8fcbf20f2cab61dc04f26be555f332d-750x750.png","2.5% Advanced Acne Med","","","","","2026-07-01T08:00:10Z","2026-07-01T08:02:09Z","JL5yWZ2fDsPkrNN3bKMQtX","production",""
"Product","product-facereality-5-advanced-acne-med","5% Advanced Acne Med","5-advanced-acne-med","","","","","","","","","","","","","","3000","30","","face-reality","skincare","1.5 oz","true","","","","","","Get serious about acne prevention with our Benzoyl Peroxide Acne treatment. 5% Advanced Acne Med is a benzoyl peroxide acne medication designed to support clearer-looking skin. Advanced Acne Med penetrates pores to target the source of acne, clearing and controlling existing blemishes while helping to prevent future breakouts.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/60fac2193a5a0b2e11c62b5ef1b45d598e3c1ab5-2048x2048.png","5% Advanced Acne Med","","","","","2026-07-01T08:00:10Z","2026-07-01T08:03:21Z","JL5yWZ2fDsPkrNN3bKN3Cf","production",""
"Product","product-facereality-5-glycolic-serum","5% Glycolic Serum","5-glycolic-serum","","","","","","","","","","","","","","3500","35","","face-reality","skincare","1 oz","true","","","","","","Reveal a more radiant, healthy‑looking complexion. This potent 5% Glycolic exfoliating serum removes dead skin cells to renew the skin, while delivering smoothing, firming, and brightening benefits.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/7831dc85eeccc64b2975938f35d751b5b162f660-2048x2048.png","5% Glycolic Serum","","","","","2026-07-01T08:00:10Z","2026-07-01T08:02:24Z","6Uf5dcYnDNc3ONxw9MriPj","production",""
"Product","product-facereality-5-mandelic-serum","5% L-Mandelic Serum","5-l-mandelic-serum","","","","","","","","","","","","","","4200","42","","face-reality","skincare","1 oz","true","","","","","","Powerful exfoliation doesn't have to be harsh on your skin. Improve the texture and tone of dull-looking skin with this gentle yet powerful 5% L-Mandelic exfoliating serum. It gradually sweeps away dead skin cells to reveal clearer, brighter-looking skin with minimal irritation.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/e12d5eecf094d7f6eeb9c5b18e84b8a39903abf6-2048x2048.png","5% L-Mandelic Serum","","","","","2026-07-01T08:00:10Z","2026-07-01T08:03:25Z","6Uf5dcYnDNc3ONxw9Ms449","production",""
"Product","product-facereality-8-mandelic-serum","8% L-Mandelic Serum","8-l-mandelic-serum","","","","","","","","","","","","","","4400","44","","face-reality","skincare","1 oz","true","","","","","","Powerful exfoliation doesn't have to be harsh on your skin. Improve the texture and tone of dull-looking skin with this gentle yet powerful 8% L-Mandelic exfoliating serum. It gradually sweeps away dead skin cells to reveal clearer, brighter-looking skin with minimal irritation.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/1354920edac004734798ce7bbaf0175cda99b9a6-2048x2048.png","8% L-Mandelic Serum","","","","","2026-07-01T08:00:10Z","2026-07-01T08:01:21Z","6Uf5dcYnDNc3ONxw9MrM4k","production",""
"Product","product-skinscript-acai-berry-moisturizer","Acai Berry Moisturizer","acai-berry-moisturizer","","","","","","","","","","","","","","","","","skin-script","skincare","","true","","","","","For: Normal, combo, dry","Acai Berry Moisturizer is an award-winning daily moisturizer formulated to deliver replenishing hydration and antioxidant support for skin in need of comfort and balance. This lightweight yet nourishing formula features acai berry extract, plant-based oils, and soothing botanical ingredients to help maintain moisture and enhance the appearance of skin softness and smoothness.","","","","","","","","","","","https://cdn.sanity.io/images/4e7axyi7/production/8a1c0c7662162aaaa920adaa37bc7485bdb4d0fd-2000x2000.webp","Acai Berry Moisturizer","","","","","2026-07-01T03:12:13Z","2026-07-01T06:20:40Z","JL5yWZ2fDsPkrNN3bJuFkP","production",""
