Title,Slug,Kind,Parent,Provider,Price,Duration,Current Collection,Current Category (enum),Status,Target GG Category,Action / Notes
— CURRENT SANITY SERVICES (30) —,,,,,,,,,,,
Permanent Jewelry,permanent-jewelry,standalone,,Aundrea,From $45,15–30 minutes,Beauty & Enhancements,,,Permanent Jewelry,Reprice $45→$65 (GG); add material tiers ($60–$95); set provider Aundrea
Botox & Neurotoxins,injectables,treatment,injectables-bio-fillers,Diana,From $14/unit,30 minutes,Injectables & Aesthetics,,,Injectables & Bio-Fillers,Price fixed ✓; drop phantom 'Dysport' from copy; set provider Diana
Dermal Fillers,dermal-fillers,treatment,injectables-bio-fillers,Diana,From $650,45–60 minutes,Injectables & Aesthetics,,,Injectables & Bio-Fillers,Price fixed ✓; drop phantom 'Restylane' from copy
EZ Gel Bio-Filler,ez-gel-bio-filler,treatment,prf,Diana,From $699,75 minutes,Injectables & Aesthetics,,,Injectables & Bio-Fillers,NOT in GG; $699 unsourced — confirm price or drop
Injectables & Bio-Fillers,injectables-bio-fillers,hub,,Diana,,,Injectables & Aesthetics,,,Injectables & Bio-Fillers,Hub — becomes the collection landing
Acne Bootcamp — 12-Week Face Reality Program,acne-bootcamp,treatment,face-reality-acne-program,Amber,$899 program,12 weeks · biweekly,Skin Renewal,,,Acne Bootcamp,The ONE Face Reality service ($899 program); own program page
Acne Peel,acne-peel,treatment,face-reality-acne-program,Amber,From $139,60 minutes,Skin Renewal,,,(REMOVE),"REMOVE — Face Reality sold as $899 program only, not single peels"
Back Treatment — Acne & Texture,back-treatment,treatment,face-reality-acne-program,Amber,From $159,60 minutes,Skin Renewal,,,(REMOVE),REMOVE — not sold standalone
BioRePeel,biorepeel,hub,,Amber,From $295,45 minutes,Skin Renewal,,,Advanced Facials,NOT in GG yet — Amber adding; move to Advanced Facials
BioRePeel Advanced — Acne Scarring,biorepeel-advanced-acne-scarring,treatment,biorepeel,Amber,From $450,75 minutes,Skin Renewal,,,Advanced Facials,NOT in GG — Amber adding
BioRePeel Body,biorepeel-body,treatment,biorepeel,Amber,From $325 per zone,75 minutes,Skin Renewal,,,Advanced Facials,NOT in GG — Amber adding (body lane)
BioRePeel Duo — Gold Spot Upgrade,biorepeel-gold-spot-treatment,treatment,biorepeel,Amber,From $395,60 minutes,Skin Renewal,,,Advanced Facials,NOT in GG — Amber adding
Dermaplaning,dermaplaning,standalone,,Amber,From $135,50 minutes,Skin Renewal,,,Enhancements & Add-ons,Add-on ONLY per Amber (+$45 prep); Brandy may offer as a facial
Face Reality Acne Program,face-reality-acne-program,hub,,Amber,From $139,60 minutes,Skin Renewal,,,Acne Bootcamp,Hub → the $899 program page; fix 'From $139'→'$899 program'
Glo2Facial,glo2facial,standalone,,Amber,From $195,60 minutes,Skin Renewal,skin-renewal,live,Advanced Facials,Price fixed ✓; move Skin Renewal→Advanced Facials
Microchanneling & Microneedling,microchanneling-microneedling,hub,,Amber,,,Skin Renewal,,,Microchanneling & Microneedling,Hub → the collection landing
Microneedling — Body,microneedling-body,standalone,,Amber,From $325 per zone,60–90 minutes,Skin Renewal,skin-renewal,proposed,Microchanneling & Microneedling,NOT in GG — Amber adding (body)
Microneedling — Corrective,microneedling-corrective,standalone,,Amber,From $295,60–75 minutes,Skin Renewal,skin-renewal,proposed,Microchanneling & Microneedling,NOT in GG (GG has one $349 MD line) — reconcile
Neck & Décolleté Extension,neck-decollete-extension,standalone,,Amber,+$95,+20 minutes,Skin Renewal,skin-renewal,proposed,Enhancements & Add-ons,"Add-on, not standalone"
PRF Body Treatments,prf-body-treatments,treatment,prf,Amber,From $475 per zone,90 minutes,Skin Renewal,,,Skin Renewal,NOT in GG — Amber adding (body); topical PRF (Amber)
PRF Skin Texture & Tightening,prf-microneedling,treatment,prf,Amber,From $425,90 minutes,Skin Renewal,,,Skin Renewal,GG = 'PRF Skin Renewal' $450 — reconcile $425→$450
PRF — Platelet-Rich Fibrin,prf,hub,,Amber,,,Skin Renewal,,,Skin Renewal,Hub (Amber topical PRF); keep injectable PRF under Diana
