Service Name,Category,Sub-Category,Price,Price Type,Duration (min),Description,Notes
Botox,Injectables & Bio-Fillers,Neuromodulators,$14/unit,Per Unit,20,"Precision neuromodulator dosed to your anatomy — softens expression lines and prevents new ones from forming for a refreshed, undetectable result. Popular as a lunch-break visit for Charlotte County professionals.",Provider: Diana
Daxxify,Injectables & Bio-Fillers,Neuromodulators,$14/unit,Per Unit,20,"A longer-acting neuromodulator alternative to Botox, built on peptide technology for smoother results with fewer touch-up visits between sessions.",Provider: Diana
Juvéderm Ultra XC,Injectables & Bio-Fillers,Dermal Fillers,From $650,Per Syringe,30,"Smooth, hyaluronic-acid filler that restores volume and softens lines in the lips and lower face for a natural, hydrated look.",Provider: Diana
Juvéderm Voluma XC,Injectables & Bio-Fillers,Dermal Fillers,From $850,Per Syringe,45,Structural cheek filler that lifts and contours where volume loss has changed the shape of the face — a subtle mid-face reset.,Provider: Diana
RHA 1,Injectables & Bio-Fillers,Dermal Fillers,From $650,Per Syringe,30,Flexible filler engineered to move naturally with facial expression — ideal for fine lines and delicate areas like the lips and under-eyes.,Provider: Diana
RHA 2,Injectables & Bio-Fillers,Dermal Fillers,From $700,Per Syringe,30,"Mid-weight RHA filler for moderate lines and folds, balancing correction with natural movement — a versatile everyday-face filler.",Provider: Diana
RHA 3,Injectables & Bio-Fillers,Dermal Fillers,From $800,Per Syringe,45,"Our most robust RHA filler, built for deeper folds and areas needing stronger structural support without looking overdone.",Provider: Diana
PRF Under-Eye Rejuvenation,Injectables & Bio-Fillers,Injectable PRF,$495 (Series of 3: $1350),Per Session,45,"Your own platelet-rich fibrin, injected beneath the under-eye to soften hollows and dark circles gradually and naturally — no synthetic filler, no downtime you can't work around.",Provider: Diana
PRF Facial Rejuvenation (1 Area),Injectables & Bio-Fillers,Injectable PRF,$595 (Series of 3: $1650),Per Area,60,Targeted PRF injections that put your body's own growth factors to work rebuilding collagen — firmer more even-toned skin that keeps improving for months after treatment.,Provider: Diana; $1650 series price confirmed final — consistent with practice's own Under-Eye discount curve and SW FL market range
PRF Skin Renewal (Microchanneling + PRF),Skin Renewal,Injectable PRF,$450 (Series of 3: $1200; Series of 4: $1550),Per Session,60,Microchanneling paired with your own PRF to renew texture and radiance from within — our answer to SW Florida sun exposure addressing fine lines tone and overall skin quality with minimal downtime.,Provider: Amber (microchanneling is exclusively her lane)
Hydration IV,Wellness & Restoration,IV Wellness Therapy,$100,Per Session,30,A base electrolyte and fluid infusion to restore hydration fast — the go-to reset after a day on the water travel or an off day in the Florida heat.,Provider: Diana
Immunity IV,Wellness & Restoration,IV Wellness Therapy,$175,Per Session,45,"Vitamin- and antioxidant-forward blend built to support the immune system during high-stress, high-exposure, or seasonal-change stretches.",Provider: Diana
Recovery IV,Wellness & Restoration,IV Wellness Therapy,$185,Per Session,45,Formulated to ease muscle fatigue and support recovery after intense activity workouts or physical strain — a favorite post-workout stop for the Punta Gorda active crowd.,Provider: Diana
Beauty Glow IV,Wellness & Restoration,IV Wellness Therapy,$185,Per Session,45,Skin-focused infusion pairing hydration with beauty-supporting nutrients for a healthy from-within glow — great before a big event or a beach day.,Provider: Diana
Reboot (Hangover Recovery) IV,Wellness & Restoration,IV Wellness Therapy,$185,Per Session,45,Rapid rehydration and nutrient replenishment blend designed to help you bounce back fast after a big night out.,Provider: Diana
Myers' Cocktail IV,Wellness & Restoration,IV Wellness Therapy,$190,Per Session,45,The classic multivitamin infusion — a broad-spectrum blend of vitamins and minerals for comprehensive overall wellness support.,Provider: Diana
Vitamin C Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,Boost any IV session with an extra dose of immune-supporting Vitamin C.,Attach to a base IV session; not a standalone bookable service
B12 Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,Boost any IV session with an extra dose of energy-supporting B12.,Attach to a base IV session; not a standalone bookable service
Biotin Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,"Boost any IV session with an extra dose of hair-, skin-, and nail-supporting Biotin.",Attach to a base IV session; not a standalone bookable service
Glutathione Add-On,Wellness & Restoration,IV Add-On,$35,Add-On,5,"Boost any IV session with an extra dose of Glutathione, a master antioxidant that supports skin clarity and detoxification.",Attach to a base IV session; not a standalone bookable service
Magnesium Add-On,Wellness & Restoration,IV Add-On,$25,Add-On,5,Boost any IV session with an extra dose of Magnesium to support muscle relaxation and sleep quality.,Attach to a base IV session; not a standalone bookable service
NAD+ Add-On,Wellness & Restoration,IV Add-On,$100,Add-On,5,"Boost any IV session with an extra dose of NAD+, supporting cellular energy and recovery at the metabolic level.",Attach to a base IV session; not a standalone bookable service
Semaglutide,Wellness & Restoration,GLP-1 Program,Starting at $225/month,Program,15,Physician-guided GLP-1 weight management program with monthly dosing and progress check-ins — a medically supervised path to sustainable results tailored to your goals.,Provider: Diana
Tirzepatide,Wellness & Restoration,GLP-1 Program,Starting at $325/month,Program,15,"Dual-action GLP-1/GIP weight management program with monthly dosing and progress check-ins, for patients seeking a more comprehensive metabolic approach.",Provider: Diana
