Target GG Collection (9),Provider(s),GG Service Count,Currently a Sanity Collection?,Notes
Facials,Brandy,6,No,CREATE — the current basic-facial ladder ($100–$200)
Advanced Facials,Amber,5 (+ Amber adding BioRePeel/body),Partly (in 'Skin Renewal'),Glo2 + combos + GlowTox; move Glo2/BioRePeel here
Microneedling,Amber,1 (+ body area),Hub exists,One canonical service; Procell Microchanneling is the branded Procell context
Skin Renewal,Amber,1,Yes (currently a catch-all — 19 svcs),Trim to just PRF Skin Renewal; redistribute the rest
Injectables & Bio-Fillers,Diana,9,Yes ('Injectables & Aesthetics' → rename),Botox/Daxxify/fillers/PRF injections
Wellness & Restoration,Diana,14,Yes,IVs + add-ons + GLP-1 (GG groups all as one)
Waxing,Brandy,1,Yes,Keep facial-waxing under Brandy
Enhancements & Add-ons,(cross),2,No,Lip/Chin $7 + treatment add-ons (Dermaplane/LED/prep)
Acne Bootcamp,Amber,0 (→ 1 service),No (in 'Skin Renewal'),Face Reality $899 program; you said make it a service

— CURRENT SANITY COLLECTIONS (5) —,,,,
Injectables & Aesthetics,Diana,4 services,→ rename to 'Injectables & Bio-Fillers',
Wellness & Restoration,Diana,3 services,→ keep,
Skin Renewal,Amber,19 services,→ split into Advanced Facials / Microchanneling / Skin Renewal / Acne Bootcamp,
Waxing,Brandy,1 service,→ keep,

— GG categories NOT built (empty/planned) —,,,,
Injections,Diana,0,No,empty in GG — planned
Hormone Therapy,Diana,0,No,empty in GG — planned (BHRT)
