Type,Name,Category,Duration,Price,Notes
Package,The Short Runway,Weddings & Events,4-6 week redemption,$550,"5 redemptions: Skin Analysis & Consultation x1; BioRePeel Cl3 Rejuvenation x1; Facial Waxing Eyebrows Shape + Trim & Wax x1; Glo2Facial x1; Dermaplaning Add-On x1. Non-injectable. Online booking OFF."
Package,The Season,Weddings & Events,3-4 month redemption,$1925,"7 redemptions: Skin Analysis & Consultation x1; Procell Therapies Pro x1; PRF Microneedling x1; Glo2Facial x2; Dermaplaning Add-On x1; BioRePeel Cl3 Rejuvenation x1; Botox up to 30 units x1. Sold after consultation. Online booking OFF."
Package,The Full Year,Weddings & Events,6-12 month redemption,$5450,"14 redemptions: Skin Analysis & Consultation x1; Procell Therapies MD x2; PRF Microneedling x2; BioRePeel Cl3 Series of 3 x1; Glo2Facial x3; Dermaplaning Add-On x2; Botox up to 30 units x3 sessions; RHA 2 x1 syringe; Beauty Glow IV x1; Event Makeup trial x1; Bridal Makeup x1; Eyebrows Shape + Trim & Wax x2. Filler substitution quoted at difference. Sold after consultation. Online booking OFF."
Package,The Groom,Weddings & Events,8 week redemption,$875,"7 redemptions: Skin Analysis & Consultation x1; Skin Reset Facial x1; Body Waxing Back x1; Eyebrows Shape + Trim & Wax x1; Botox up to 20 units x1; Glo2Facial x1; Recovery IV x1. Hyperhidrosis neurotoxin quoted separately. Online booking OFF."
Package,Mother of the Bride or Groom,Weddings & Events,8 week redemption,$640,"3 redemptions: Radiance & Renewal Facial x1; Botox up to 20 units x1; Glo2Facial x1. Sold after consultation. Online booking OFF."
Package,Mother of the Bride or Groom - Extended,Weddings & Events,3 month redemption,$1095,"4 redemptions: Radiance & Renewal Facial x1; Botox up to 20 units x1; Glo2Facial x1; PRF Under-Eye x1. Sold after consultation. Online booking OFF."
Service,The Attendants - Skin,Weddings & Events,1 hr 25 mins,$250,"Single visit. Glo2Facial + Dermaplaning Add-On. Minimum 3 attendants to book as a block. Online booking ON."
Service,The Attendants - Skin + IV,Weddings & Events,1 hr 35 mins,$285,"Single visit. Skin Reset Facial + Beauty Glow IV. Minimum 3 attendants to book as a block. Online booking ON."
Service,The Attendants - Skin + Makeup,Weddings & Events,1 hr 45 mins,$340,"Single visit. Glo2Facial + Event Makeup. Minimum 3 attendants to book as a block. Online booking ON."
Service,Private House Booking - Facility Fee,Weddings & Events,4 hrs,$750,"Up to 8 guests. Facility fee only. Requires $150 per-guest service minimum booked separately. 50% non-refundable deposit. Online booking OFF."
Service,Permanent Jewelry Station Fee,Weddings & Events,30 mins,$200,"Station setup for group events. Minimum 6 pieces at $65 each booked separately. Online booking OFF."
