Keyword,Gap Type,Your Position,Traffic Potential,Volume,Keyword Difficulty,CPC ($),Intent,Parent Topic,# Competitors,Competitors Targeting,Top Competitor URL,Competitor Page Traffic,Historical Priority,Current Publication Decision
how to brighten under eyes,Content gap,Not ranking,51000,500,1,0.08,informational,how to remove dark circles under eyes permanently,1,elase.com,https://elase.com/blog/how-to-brighten-up-your-under-eyes/,10,High,No automatic page - verify current commerce truth and documented page type
how to get rid of bumps on face,Content gap,Not ranking,34000,2600,7,0.8,informational,raised skin bumps,1,suncoastskin.com,https://www.suncoastskin.com/all-you-need-to-know-about-rosacea/,0,High,No automatic page - verify current commerce truth and documented page type
lip melasma,Content gap,Not ranking,25000,90,0,1.0,informational,melasma,1,suncoastskin.com,https://www.suncoastskin.com/causes-of-melasma-treatment-options/,5,High,No automatic page - verify current commerce truth and documented page type
how to fix dry skin,Content gap,Not ranking,21000,1100,0,0.3,informational,dry skin on face,1,suncoastskin.com,https://www.suncoastskin.com/5-ways-to-treat-dry-skin,10,High,No automatic page - verify current commerce truth and documented page type
what does lip filler look like,Content gap,Not ranking,21000,150,1,0.06,"informational,commercial",lip filler,1,elase.com,https://elase.com/blog/lip-filler-faqs/,20,High,No automatic page - verify current commerce truth and documented page type
how to lighten age spots,Content gap,Not ranking,21000,200,10,0.1,informational,dark spots on face,1,suncoastskin.com,https://www.suncoastskin.com/tips-on-dealing-with-age-spots/,13,High,No automatic page - verify current commerce truth and documented page type
should i get a chemical peel,Content gap,Not ranking,19000,100,1,0.06,informational,chemical peel,1,suncoastskin.com,https://www.suncoastskin.com/chemical-peels-and-10-signs-you-need-one/,29,High,No automatic page - verify current commerce truth and documented page type
acanthosis nigricans,Content gap,Not ranking,18000,86000,32,0.05,informational,acanthosis nigricans,1,suncoastskin.com,https://www.suncoastskin.com/florida-dermatologist-faqs-what-is-acanthosis-nigricans/,116,High,No automatic page - verify current commerce truth and documented page type
how to get rid of double chin without surgery,Content gap,Not ranking,16000,150,7,0.3,"informational,commercial",how to get rid of double chin,1,suncoastskin.com,https://www.suncoastskin.com/kybella-remove-your-double-chin-without-surgery/,13,High,No automatic page - verify current commerce truth and documented page type
bikini laser hair removal cost,Content gap,Not ranking,14000,1000,6,3.0,"informational,commercial",how much is laser hair removal,1,elase.com,https://elase.com/blog/laser-hair-removal-bikini-area/,0,High,No automatic page - verify current commerce truth and documented page type
